Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleType,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,0.002000,1,1,1,1,0,0,1,1,0.0000,349520.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
1,0.002000,1,1,1,1,0,0,1,2,1.0000,361678.81,316881.69,3400000.00,3400000.00,3400000.00,3400000.00
1,0.002000,2,1,1,1,0,0,1,1,0.0000,1331440.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
1,0.002000,2,1,1,1,0,0,1,2,1.0000,1365284.38,811852.44,3400000.00,3400000.00,3400000.00,3400000.00
1,0.002000,3,1,1,1,0,0,1,1,0.0000,3400000.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
1,0.002000,3,1,1,1,0,0,1,2,1.0000,3400000.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
1,0.002000,5,1,1,1,0,0,1,1,0.0000,1331440.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
1,0.002000,5,1,1,1,0,0,1,2,1.0000,1364777.75,523267.91,3400000.00,3400000.00,3400000.00,3400000.00
5,0.002000,12,5,1,1,0,0,1,1,0.0000,349520.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
5,0.002000,12,5,1,1,0,0,1,2,1.0000,282801.94,234557.09,3400000.00,3400000.00,3400000.00,3400000.00
6,0.002000,17,6,1,1,0,0,1,1,0.0000,349520.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
6,0.002000,17,6,1,1,0,0,1,2,0.9000,313316.31,426738.94,3400000.00,3400000.00,3060000.00,3400000.00
11,0.002000,27,11,1,1,0,0,1,1,0.0000,2346000.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
11,0.002000,27,11,1,1,0,0,1,2,1.0000,2296832.00,709387.88,3400000.00,3400000.00,3400000.00,3400000.00
13,0.002000,32,13,1,1,0,0,1,1,0.0000,349520.00,0.00,3400000.00,3400000.00,3400000.00,3400000.00
13,0.002000,32,13,1,1,0,0,1,2,1.0000,420837.91,378663.12,3400000.00,3400000.00,3400000.00,3400000.00
