,GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
14486,5,637,1,911,1,0.7811424
14487,6,788,1,1146,1,0.030379407
14488,6,788,1,1147,1,0.40003103
14490,7,60,1,90,1,0.5485385
14491,8,621,1,890,1,0.49171174
14492,9,561,1,806,1,0.66325533
14493,10,672,1,967,1,0.81489784
14495,11,658,1,945,1,0.7115894
14496,12,61,1,91,1,0.45816416
14497,13,660,1,947,1,0.32182375
14498,13,660,1,948,1,0.20372778
14499,14,27,1,45,1,0.7540166
14501,16,410,1,580,1,0.39457196
14502,16,410,1,581,1,0.47792873
14503,18,359,1,504,1,0.06986342
14505,20,340,1,481,1,0.037616003
14506,20,340,1,482,1,0.48567286
14509,22,891,1,1297,1,0.7512805
14510,23,280,1,392,1,0.5267246
14511,23,280,1,393,1,0.9494841
14514,28,632,1,904,1,0.11697966
14515,28,632,1,905,1,0.5893775
14516,28,632,1,906,1,0.048311997
14517,29,108,1,153,1,0.01988578
14519,31,134,1,182,1,0.032376513
14521,32,529,1,747,1,0.67568785
14523,33,629,1,899,1,0.5750528
14524,34,360,1,505,1,0.16884293
14525,35,150,1,215,1,0.5604676
14526,35,150,1,216,1,0.5200843
14528,37,558,1,801,1,0.5682887
14529,39,124,1,169,1,0.6736951
14530,39,124,1,170,1,0.50215447
14531,40,764,1,1109,1,0.44804367
14532,40,764,1,1110,1,0.118554376
14533,40,764,1,1111,1,0.27659497
14534,41,16,1,25,1,0.86238056
14535,41,16,1,26,1,0.89898103
14537,41,16,1,28,1,0.58763635
14539,44,975,1,1414,1,0.933735
14540,44,975,1,1415,1,0.4695868
14541,46,789,1,1148,1,0.27510384
14542,47,669,1,959,1,0.25905034
14543,47,669,1,960,1,0.5314532
14544,47,669,1,961,1,0.28339052
14546,47,669,1,963,1,0.53842235
14547,47,669,1,964,1,0.6078539
14549,48,269,1,379,1,0.1043289
14550,50,146,1,208,1,0.06938015
14551,50,146,1,209,1,0.9120974
14552,50,146,1,210,1,0.82731867
14554,52,514,1,731,1,0.27924734
14555,55,63,1,94,1,0.8058404
14556,55,63,1,95,1,0.13664804
14557,55,63,1,96,1,0.48220217
14558,55,63,1,97,1,0.6433237
14559,56,556,1,798,1,0.50717556
14560,57,613,1,876,1,0.8357205
14562,60,801,1,1170,1,0.22459257
14563,60,801,1,1171,1,0.06875614
14564,61,191,1,280,1,0.803383
14565,61,191,1,281,1,0.94971573
14566,62,135,1,184,1,0.76734674
14567,63,346,1,488,1,0.22842608
14569,64,692,1,998,1,0.27567473
14570,68,526,1,744,1,0.10974052
14572,69,322,1,450,1,0.703589
14573,69,322,1,451,1,0.98091716
14574,69,322,1,452,1,0.2703842
14575,70,594,1,840,1,0.3335907
14576,72,291,1,406,1,0.45955408
14577,72,291,1,407,1,0.013077521
14578,73,651,1,933,1,0.00023444083
14580,74,406,1,573,1,0.88362026
14581,74,406,1,574,1,0.69346094
