EventId,SummaryId,SampleType,EventRate,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,1,1,nan,0.000000,0.000000,0.000000,56294.125000,56294.125000,56294.125000,56294.125000
1,1,2,nan,0.300000,662.028198,1468.202271,56294.125000,56294.125000,16888.238281,56294.125000
1,2,1,nan,0.000000,0.000000,0.000000,202147.078125,202147.078125,202147.078125,202147.078125
1,2,2,nan,0.300000,6044.344238,12957.791016,202147.078125,202147.078125,60644.125000,202147.078125
1,3,1,nan,0.000000,0.000000,0.000000,40941.179688,40941.179688,40941.179688,40941.179688
1,3,2,nan,0.200000,793.868103,1736.083374,40941.179688,40941.179688,8188.235840,40941.179688
1,4,1,nan,0.000000,0.000000,0.000000,7676.471680,7676.471680,7676.471680,7676.471680
1,4,2,nan,0.300000,127.201241,244.675705,7676.471680,7676.471680,2302.941406,7676.471680
1,5,1,nan,0.000000,0.000000,0.000000,63970.593750,63970.593750,63970.593750,63970.593750
1,5,2,nan,0.300000,2281.463135,4829.202637,63970.593750,63970.593750,19191.177734,63970.593750
1,6,1,nan,0.000000,0.000000,0.000000,179117.671875,179117.671875,179117.671875,179117.671875
1,6,2,nan,0.300000,2853.095703,5571.943848,179117.671875,179117.671875,53735.300781,179117.671875
1,7,1,nan,0.000000,0.000000,0.000000,23029.414062,23029.414062,23029.414062,23029.414062
1,7,2,nan,0.300000,492.515991,1105.561401,23029.414062,23029.414062,6908.824219,23029.414062
1,8,1,nan,0.000000,0.000000,0.000000,79323.539062,79323.539062,79323.539062,79323.539062
1,8,2,nan,0.300000,2616.487793,6432.814453,79323.539062,79323.539062,23797.062500,79323.539062
1,9,1,nan,0.000000,0.000000,0.000000,107470.601562,107470.601562,107470.601562,107470.601562
1,9,2,nan,0.300000,2295.272949,4390.692383,107470.601562,107470.601562,32241.179688,107470.601562
1,10,1,nan,0.000000,0.000000,0.000000,110029.421875,110029.421875,110029.421875,110029.421875
1,10,2,nan,0.300000,3722.402588,11129.250977,110029.421875,110029.421875,33008.828125,110029.421875
2,1,1,nan,0.000000,16139.718750,0.000000,56294.125000,56294.125000,56294.125000,56294.125000
2,1,2,nan,0.800000,17130.179688,20521.642578,56294.125000,56294.125000,45035.300781,56294.125000
2,2,1,nan,0.000000,57956.261719,0.000000,202147.093750,202147.078125,202147.078125,202147.078125
2,2,2,nan,0.900000,68224.390625,61348.656250,202147.093750,202147.078125,181932.375000,202147.078125
2,3,1,nan,0.000000,11737.976562,0.000000,40941.179688,40941.179688,40941.179688,40941.179688
2,3,2,nan,0.900000,12941.813477,13134.733398,40941.179688,40941.179688,36847.062500,40941.179688
2,4,1,nan,0.000000,2200.870605,0.000000,7676.471680,7676.471680,7676.471680,7676.471680
2,4,2,nan,0.900000,2411.364502,2334.004639,7676.471680,7676.471680,6908.824707,7676.471680
2,5,1,nan,0.000000,18340.589844,0.000000,63970.597656,63970.593750,63970.593750,63970.593750
2,5,2,nan,0.900000,17484.337891,12326.550781,63970.597656,63970.593750,57573.535156,63970.593750
2,6,1,nan,0.000000,51353.648438,0.000000,179117.656250,179117.671875,179117.671875,179117.671875
2,6,2,nan,0.900000,49427.457031,41200.613281,179117.656250,179117.671875,161205.906250,179117.671875
2,7,1,nan,0.000000,6602.611816,0.000000,23029.414062,23029.414062,23029.414062,23029.414062
2,7,2,nan,0.900000,6614.380859,7407.888672,23029.414062,23029.414062,20726.472656,23029.414062
2,8,1,nan,0.000000,22742.330078,0.000000,79323.539062,79323.539062,79323.539062,79323.539062
2,8,2,nan,0.900000,24150.748047,25606.267578,79323.539062,79323.539062,71391.187500,79323.539062
2,9,1,nan,0.000000,30812.189453,0.000000,107470.609375,107470.601562,107470.601562,107470.601562
2,9,2,nan,0.900000,29141.855469,31315.896484,107470.609375,107470.601562,96723.539062,107470.601562
2,10,1,nan,0.000000,31545.812500,0.000000,110029.421875,110029.421875,110029.421875,110029.421875
2,10,2,nan,0.900000,34851.972656,35750.054688,110029.421875,110029.421875,99026.476562,110029.421875
3,1,1,nan,0.000000,56294.125000,0.000000,56294.125000,56294.125000,56294.125000,56294.125000
3,1,2,nan,1.000000,56294.125000,0.000000,56294.125000,56294.125000,56294.125000,56294.125000
3,2,1,nan,0.000000,202147.078125,0.000000,202147.078125,202147.078125,202147.078125,202147.078125
3,2,2,nan,1.000000,202147.078125,0.000000,202147.078125,202147.078125,202147.078125,202147.078125
3,3,1,nan,0.000000,40941.179688,0.000000,40941.179688,40941.179688,40941.179688,40941.179688
3,3,2,nan,1.000000,40941.179688,0.000000,40941.179688,40941.179688,40941.179688,40941.179688
3,4,1,nan,0.000000,7676.471680,0.000000,7676.471680,7676.471680,7676.471680,7676.471680
3,4,2,nan,1.000000,7676.471680,0.000000,7676.471680,7676.471680,7676.471680,7676.471680
3,5,1,nan,0.000000,63970.601562,0.000000,63970.593750,63970.593750,63970.593750,63970.593750
3,5,2,nan,1.000000,63970.593750,0.000000,63970.593750,63970.593750,63970.593750,63970.593750
3,6,1,nan,0.000000,179117.671875,0.000000,179117.671875,179117.671875,179117.671875,179117.671875
3,6,2,nan,1.000000,179117.671875,0.000000,179117.671875,179117.671875,179117.671875,179117.671875
3,7,1,nan,0.000000,23029.414062,0.000000,23029.414062,23029.414062,23029.414062,23029.414062
3,7,2,nan,1.000000,23029.414062,0.000000,23029.414062,23029.414062,23029.414062,23029.414062
3,8,1,nan,0.000000,79323.539062,0.000000,79323.539062,79323.539062,79323.539062,79323.539062
3,8,2,nan,1.000000,79323.539062,0.000000,79323.539062,79323.539062,79323.539062,79323.539062
3,9,1,nan,0.000000,107470.593750,0.000000,107470.601562,107470.601562,107470.601562,107470.601562
3,9,2,nan,1.000000,107470.601562,0.000000,107470.601562,107470.601562,107470.601562,107470.601562
3,10,1,nan,0.000000,110029.421875,0.000000,110029.421875,110029.421875,110029.421875,110029.421875
3,10,2,nan,1.000000,110029.421875,0.000000,110029.421875,110029.421875,110029.421875,110029.421875
5,1,1,nan,0.000000,16139.718750,0.000000,56294.125000,56294.125000,56294.125000,56294.125000
5,1,2,nan,1.000000,16390.771484,12159.388672,56294.125000,56294.125000,56294.125000,56294.125000
5,2,1,nan,0.000000,57956.261719,0.000000,202147.093750,202147.078125,202147.078125,202147.078125
5,2,2,nan,1.000000,64175.070312,46345.410156,202147.093750,202147.078125,202147.078125,202147.078125
5,3,1,nan,0.000000,11737.976562,0.000000,40941.179688,40941.179688,40941.179688,40941.179688
5,3,2,nan,1.000000,12400.388672,7614.931152,40941.179688,40941.179688,40941.179688,40941.179688
5,4,1,nan,0.000000,2200.870605,0.000000,7676.471680,7676.471680,7676.471680,7676.471680
5,4,2,nan,1.000000,2509.120361,2086.573975,7676.471680,7676.471680,7676.471680,7676.471680
5,5,1,nan,0.000000,18340.589844,0.000000,63970.597656,63970.593750,63970.593750,63970.593750
5,5,2,nan,1.000000,19624.708984,14659.466797,63970.597656,63970.593750,63970.593750,63970.593750
5,6,1,nan,0.000000,51353.648438,0.000000,179117.656250,179117.671875,179117.671875,179117.671875
5,6,2,nan,1.000000,51690.406250,37872.886719,179117.656250,179117.671875,179117.671875,179117.671875
5,7,1,nan,0.000000,6602.611816,0.000000,23029.414062,23029.414062,23029.414062,23029.414062
5,7,2,nan,1.000000,6714.000000,4538.604492,23029.414062,23029.414062,23029.414062,23029.414062
5,8,1,nan,0.000000,22742.330078,0.000000,79323.539062,79323.539062,79323.539062,79323.539062
5,8,2,nan,1.000000,23606.978516,18176.904297,79323.539062,79323.539062,79323.539062,79323.539062
5,9,1,nan,0.000000,30812.189453,0.000000,107470.609375,107470.601562,107470.601562,107470.601562
5,9,2,nan,1.000000,30905.039062,22672.894531,107470.609375,107470.601562,107470.601562,107470.601562
5,10,1,nan,0.000000,31545.812500,0.000000,110029.421875,110029.421875,110029.421875,110029.421875
5,10,2,nan,1.000000,31416.871094,19286.302734,110029.421875,110029.421875,110029.421875,110029.421875
12,1,1,nan,0.000000,0.000000,0.000000,56294.125000,56294.125000,56294.125000,56294.125000
12,1,2,nan,0.200000,1056.451904,2293.590820,56294.125000,56294.125000,11258.825195,56294.125000
12,2,1,nan,0.000000,0.000000,0.000000,202147.078125,202147.078125,202147.078125,202147.078125
12,2,2,nan,0.200000,2233.607422,4809.301758,202147.078125,202147.078125,40429.414062,202147.078125
