Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleId,Loss,ImpactedExposure
1,0.001000,1,1,1,1,0,0,1,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,1,1,1408.97,56294.12
1,0.001000,1,1,1,1,0,0,1,4,578.43,56294.12
1,0.001000,1,1,1,1,0,0,1,8,4632.88,56294.12
1,0.001000,1,1,1,1,0,0,2,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,2,1,40976.39,202147.08
1,0.001000,1,1,1,1,0,0,2,4,7741.95,202147.08
1,0.001000,1,1,1,1,0,0,2,8,11725.11,202147.08
1,0.001000,1,1,1,1,0,0,3,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,3,1,2990.36,40941.18
1,0.001000,1,1,1,1,0,0,3,8,4948.32,40941.18
1,0.001000,1,1,1,1,0,0,4,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,4,1,379.05,7676.47
1,0.001000,1,1,1,1,0,0,4,4,165.21,7676.47
1,0.001000,1,1,1,1,0,0,4,8,727.75,7676.47
1,0.001000,1,1,1,1,0,0,5,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,5,1,13985.12,63970.59
1,0.001000,1,1,1,1,0,0,5,4,714.90,63970.59
1,0.001000,1,1,1,1,0,0,5,8,8114.61,63970.59
1,0.001000,1,1,1,1,0,0,6,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,6,1,16159.66,179117.67
1,0.001000,1,1,1,1,0,0,6,4,2782.60,179117.67
1,0.001000,1,1,1,1,0,0,6,8,9588.70,179117.67
1,0.001000,1,1,1,1,0,0,7,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,7,1,3524.95,23029.41
1,0.001000,1,1,1,1,0,0,7,4,801.49,23029.41
1,0.001000,1,1,1,1,0,0,7,8,598.72,23029.41
1,0.001000,1,1,1,1,0,0,8,-1,0.00,0.00
1,0.001000,1,1,1,1,0,0,8,1,20605.85,79323.54
1,0.001000,1,1,1,1,0,0,8,4,2132.36,79323.54
