ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,InceptionDate,ExpirationDate,Perils,LOB,Form,Currency,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,Limit1,LimitA,LimitB,LimitC,LimitD,Limit2,DedAmt1,DedAmt2,DedAmt3,DedAmt4,AttachmentAmt,AttachmentPtA,AttachmentPtB,AttachmentPtC,AttachmentPtD,DedType,Premium,AggregateLimitType,AggregateLimit,AggregateAttachmentPt,AggregateDedType,AggregateDedAmt,SublimitPerils,SublimitArea,SubLimitLimitType,SublimitDedType,SubLimitOcc,SublimitPart,SublimitAttachAmt,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD,SublimitDedAmt1,SublimitDedAmt2,SublimitDedAmt3,SublimitDedAmt4,SublimitName,ParentSublimitName,SublimitAggregateLimitType,SublimitAggregateLimit,SublimitAggregateAttachmentPt,SublimitAggregateDedType,SublimitAggregateDedAmt
1253900,,,,,,A,2021-11-29,2022-11-28,FF,GC1,Unknown,USD,,,,,,2349611,FF,E,,,,,,,25000.0,0,0,0,50000000.0,50000000.0,,,,MI,,N,0,0,N,0,FF,CA LOCATION,B,B,15000000.0,0,0,15000000.0,1,0,0,0,0,0,0,25000.0,0,0,0,,,N,0,0,N,0
1253900,,,,,,A,2021-11-29,2022-11-28,FF,GC1,Unknown,USD,,,,,,2349611,FF,E,,,,,,,25000.0,0,0,0,50000000.0,50000000.0,,,,MI,,N,0,0,N,0,FF,ALL OTHER LOCATIONS,B,B,150000000.0,0,0,150000000.0,1,0,0,0,0,0,0,0.0,0,0,0,,,N,0,0,N,0
1253901,,,,,,A,2021-11-01,2022-10-31,FF,GC1,Unknown,USD,,,,,,2349615,FF,E,,,,,,,500000.0,0,0,0,225000000.0,225000000.0,,,,MI,,N,0,0,N,0,FF,ZONE2,B,B,100000000.0,0,0,100000000.0,1,0,0,0,0,0,0,500000.0,0,0,0,,,N,0,0,N,0
1253901,,,,,,A,2021-11-01,2022-10-31,FF,GC1,Unknown,USD,,,,,,2349615,FF,E,,,,,,,500000.0,0,0,0,225000000.0,225000000.0,,,,MI,,N,0,0,N,0,FF,ZONE1,B,B,50000000.0,0,0,50000000.0,1,0,0,0,0,0,0,500000.0,0,0,0,,,N,0,0,N,0
1253901,,,,,,A,2021-11-01,2022-10-31,FF,GC1,Unknown,USD,,,,,,2349615,FF,E,,,,,,,500000.0,0,0,0,225000000.0,225000000.0,,,,MI,,N,0,0,N,0,FF,PR,B,B,15000000.0,0,0,15000000.0,1,0,0,0,0,0,0,0.0,0,0,0,,,N,0,0,N,0
1253901,,,,,,A,2021-11-01,2022-10-31,FF,GC1,Unknown,USD,,,,,,2349615,FF,E,,,,,,,500000.0,0,0,0,225000000.0,225000000.0,,,,MI,,N,0,0,N,0,FF,PNW,B,B,10000000.0,0,0,10000000.0,1,0,0,0,0,0,0,0.0,0,0,0,,,N,0,0,N,0
1253901,,,,,,A,2021-11-01,2022-10-31,FF,GC1,Unknown,USD,,,,,,2349615,FF,E,,,,,,,500000.0,0,0,0,225000000.0,225000000.0,,,,MI,,N,0,0,N,0,FF,PH,B,B,25000000.0,0,0,25000000.0,1,0,0,0,0,0,0,0.0,0,0,0,,,N,0,0,N,0
1253901,,,,,,A,2021-11-01,2022-10-31,FF,GC1,Unknown,USD,,,,,,2349615,FF,E,,,,,,,500000.0,0,0,0,225000000.0,225000000.0,,,,MI,,N,0,0,N,0,FF,NM,B,B,50000000.0,0,0,50000000.0,1,0,0,0,0,0,0,0.0,0,0,0,,,N,0,0,N,0
1253901,,,,,,A,2021-11-01,2022-10-31,FF,GC1,Unknown,USD,,,,,,2349615,FF,E,,,,,,,500000.0,0,0,0,225000000.0,225000000.0,,,,MI,,N,0,0,N,0,FF,CA,B,B,20000000.0,0,0,20000000.0,1,0,0,0,0,0,0,0.0,0,0,0,,,N,0,0,N,0
1253931,,,,,,A,2021-12-01,2022-11-30,FF,GC1,Unknown,USD,,,,,,2349714,FF,E,,,,,,,500000.0,0,0,0,200000000.0,200000000.0,,,,MI,,N,0,0,N,0,FF,EQUD1,B,B,210000000.0,0,0,210000000.0,1,0,0,0,0,0,0,1000000.0,0,0,0,,,N,0,0,N,0
1253931,,,,,,A,2021-12-01,2022-11-30,FF,GC1,Unknown,USD,,,,,,2349714,FF,E,,,,,,,500000.0,0,0,0,200000000.0,200000000.0,,,,MI,,N,0,0,N,0,FF,EQNW,B,B,70000000.0,0,0,70000000.0,1,0,0,0,0,0,0,500000.0,0,0,0,,,N,0,0,N,0
1253931,,,,,,A,2021-12-01,2022-11-30,FF,GC1,Unknown,USD,,,,,,2349714,FF,E,,,,,,,500000.0,0,0,0,200000000.0,200000000.0,,,,MI,,N,0,0,N,0,FF,EQNM,B,B,70000000.0,0,0,70000000.0,1,0,0,0,0,0,0,500000.0,0,0,0,,,N,0,0,N,0
