Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleId,Loss,ImpactedExposure
1,0.001000,1,1,1,1,0,0,1,-1,198404.00,1930000.00
1,0.001000,1,1,1,1,0,0,1,1,440594.56,1930000.00
1,0.001000,1,1,1,1,0,0,1,2,162670.41,1930000.00
1,0.001000,1,1,1,1,0,0,1,3,329122.19,1930000.00
1,0.001000,1,1,1,1,0,0,1,4,193178.86,1930000.00
1,0.001000,1,1,1,1,0,0,1,5,154754.22,1930000.00
1,0.001000,1,1,1,1,0,0,1,6,13675.33,1930000.00
1,0.001000,1,1,1,1,0,0,1,7,59585.28,1930000.00
1,0.001000,1,1,1,1,0,0,1,8,391952.50,1930000.00
1,0.001000,1,1,1,1,0,0,1,9,2815.81,1930000.00
1,0.001000,1,1,1,1,0,0,1,10,67282.39,1930000.00
2,0.001000,2,2,1,1,0,0,1,-1,755788.00,1930000.00
2,0.001000,2,2,1,1,0,0,1,1,488564.44,1930000.00
2,0.001000,2,2,1,1,0,0,1,2,884965.50,1930000.00
2,0.001000,2,2,1,1,0,0,1,3,755582.62,1930000.00
2,0.001000,2,2,1,1,0,0,1,4,1745304.75,1930000.00
2,0.001000,2,2,1,1,0,0,1,5,198054.72,1930000.00
2,0.001000,2,2,1,1,0,0,1,6,556971.00,1930000.00
2,0.001000,2,2,1,1,0,0,1,7,222209.50,1930000.00
2,0.001000,2,2,1,1,0,0,1,8,570595.75,1930000.00
2,0.001000,2,2,1,1,0,0,1,9,619778.50,1930000.00
2,0.001000,2,2,1,1,0,0,1,10,1316892.12,1930000.00
2,0.001000,3,2,1,1,0,0,1,-1,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,1,1930000.12,1930000.00
2,0.001000,3,2,1,1,0,0,1,2,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,3,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,4,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,5,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,6,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,7,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,8,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,9,1930000.00,1930000.00
2,0.001000,3,2,1,1,0,0,1,10,1930000.00,1930000.00
5,0.001000,5,5,1,1,0,0,1,-1,755788.00,1930000.00
5,0.001000,5,5,1,1,0,0,1,1,940452.19,1930000.00
5,0.001000,5,5,1,1,0,0,1,2,1048275.38,1930000.00
5,0.001000,5,5,1,1,0,0,1,3,626203.50,1930000.00
5,0.001000,5,5,1,1,0,0,1,4,914884.44,1930000.00
5,0.001000,5,5,1,1,0,0,1,5,722789.94,1930000.00
5,0.001000,5,5,1,1,0,0,1,6,1005759.00,1930000.00
5,0.001000,5,5,1,1,0,0,1,7,477443.38,1930000.00
5,0.001000,5,5,1,1,0,0,1,8,1008327.00,1930000.00
5,0.001000,5,5,1,1,0,0,1,9,434465.44,1930000.00
5,0.001000,5,5,1,1,0,0,1,10,470786.31,1930000.00
8,0.001000,12,8,1,1,0,0,1,-1,198404.00,1930000.00
8,0.001000,12,8,1,1,0,0,1,1,46818.29,1930000.00
8,0.001000,12,8,1,1,0,0,1,2,260834.03,1930000.00
8,0.001000,12,8,1,1,0,0,1,3,128659.18,1930000.00
8,0.001000,12,8,1,1,0,0,1,4,147189.22,1930000.00
8,0.001000,12,8,1,1,0,0,1,5,114853.88,1930000.00
8,0.001000,12,8,1,1,0,0,1,6,401161.34,1930000.00
8,0.001000,12,8,1,1,0,0,1,7,82910.60,1930000.00
8,0.001000,12,8,1,1,0,0,1,8,7090.21,1930000.00
8,0.001000,12,8,1,1,0,0,1,9,250965.34,1930000.00
8,0.001000,12,8,1,1,0,0,1,10,57054.34,1930000.00
9,0.001000,17,9,1,1,0,0,1,-1,198404.00,1930000.00
9,0.001000,17,9,1,1,0,0,1,1,15287.49,1930000.00
9,0.001000,17,9,1,1,0,0,1,2,833163.00,1930000.00
9,0.001000,17,9,1,1,0,0,1,3,17371.73,1930000.00
9,0.001000,17,9,1,1,0,0,1,4,93127.95,1930000.00
9,0.001000,17,9,1,1,0,0,1,5,147424.11,1930000.00
9,0.001000,17,9,1,1,0,0,1,6,159165.69,1930000.00
9,0.001000,17,9,1,1,0,0,1,7,173884.72,1930000.00
9,0.001000,17,9,1,1,0,0,1,8,101249.04,1930000.00
9,0.001000,17,9,1,1,0,0,1,9,275117.44,1930000.00
16,0.001000,27,16,1,1,0,0,1,-1,1331700.00,1930000.00
16,0.001000,27,16,1,1,0,0,1,1,747512.06,1930000.00
16,0.001000,27,16,1,1,0,0,1,2,910502.88,1930000.00
16,0.001000,27,16,1,1,0,0,1,3,1919459.00,1930000.00
16,0.001000,27,16,1,1,0,0,1,4,1380314.00,1930000.00
16,0.001000,27,16,1,1,0,0,1,5,942595.06,1930000.00
16,0.001000,27,16,1,1,0,0,1,6,973356.38,1930000.00
16,0.001000,27,16,1,1,0,0,1,7,1702545.50,1930000.00
16,0.001000,27,16,1,1,0,0,1,8,1572924.62,1930000.00
16,0.001000,27,16,1,1,0,0,1,9,1162376.00,1930000.00
16,0.001000,27,16,1,1,0,0,1,10,1666379.75,1930000.00
19,0.001000,32,19,1,1,0,0,1,-1,198404.00,1930000.00
19,0.001000,32,19,1,1,0,0,1,1,452022.91,1930000.00
19,0.001000,32,19,1,1,0,0,1,2,142803.56,1930000.00
19,0.001000,32,19,1,1,0,0,1,3,602708.75,1930000.00
19,0.001000,32,19,1,1,0,0,1,4,62835.27,1930000.00
19,0.001000,32,19,1,1,0,0,1,5,134400.83,1930000.00
19,0.001000,32,19,1,1,0,0,1,7,234503.25,1930000.00
19,0.001000,32,19,1,1,0,0,1,8,403068.12,1930000.00
19,0.001000,32,19,1,1,0,0,1,9,518420.84,1930000.00
19,0.001000,33,19,1,1,0,0,1,-1,198404.00,1930000.00
19,0.001000,33,19,1,1,0,0,1,1,424842.84,1930000.00
19,0.001000,33,19,1,1,0,0,1,3,220036.14,1930000.00
19,0.001000,33,19,1,1,0,0,1,4,5013.26,1930000.00
19,0.001000,33,19,1,1,0,0,1,5,301180.12,1930000.00
19,0.001000,33,19,1,1,0,0,1,6,34999.30,1930000.00
19,0.001000,33,19,1,1,0,0,1,7,44607.49,1930000.00
19,0.001000,33,19,1,1,0,0,1,8,58839.12,1930000.00
19,0.001000,33,19,1,1,0,0,1,9,547096.62,1930000.00
19,0.001000,33,19,1,1,0,0,1,10,135155.55,1930000.00
20,0.001000,34,20,1,1,0,0,1,-1,198404.00,1930000.00
20,0.001000,34,20,1,1,0,0,1,1,111104.89,1930000.00
20,0.001000,34,20,1,1,0,0,1,3,156477.75,1930000.00
20,0.001000,34,20,1,1,0,0,1,5,352613.38,1930000.00
20,0.001000,34,20,1,1,0,0,1,6,45718.87,1930000.00
20,0.001000,34,20,1,1,0,0,1,7,10915.02,1930000.00
20,0.001000,34,20,1,1,0,0,1,8,43161.38,1930000.00
20,0.001000,34,20,1,1,0,0,1,9,555563.62,1930000.00
20,0.001000,34,20,1,1,0,0,1,10,346463.66,1930000.00
