EventId,SummaryId,SampleId,Loss,ImpactedExposure
1,1,-1,22616.00,220000.00
1,1,1,9579.54,220000.00
1,1,4,18304.42,220000.00
1,1,5,4846.92,220000.00
1,1,8,56116.76,220000.00
1,1,9,2815.81,220000.00
1,1,10,28100.85,220000.00
1,2,-1,16448.00,160000.00
1,2,1,20331.29,160000.00
1,2,2,15890.89,160000.00
1,2,6,13675.33,160000.00
1,2,8,59937.60,160000.00
1,2,10,20698.90,160000.00
1,3,-1,71960.00,700000.00
1,3,1,109868.62,700000.00
1,3,2,22306.18,700000.00
1,3,4,88055.97,700000.00
1,3,5,89326.53,700000.00
1,3,7,59585.28,700000.00
1,3,8,116145.12,700000.00
1,4,-1,43176.00,420000.00
1,4,1,60300.71,420000.00
1,4,3,200892.75,420000.00
1,4,4,67244.12,420000.00
1,4,8,144851.83,420000.00
1,4,10,18482.63,420000.00
1,5,-1,44204.00,430000.00
1,5,1,240514.38,430000.00
1,5,2,124473.34,430000.00
1,5,3,128229.45,430000.00
1,5,4,19574.35,430000.00
1,5,5,60580.76,430000.00
1,5,8,14901.19,430000.00
2,1,-1,86152.00,220000.00
2,1,1,44657.25,220000.00
2,1,2,155508.55,220000.00
2,1,3,73759.21,220000.00
2,1,4,208736.09,220000.00
2,1,5,71627.04,220000.00
2,1,7,6455.53,220000.00
2,1,8,29421.24,220000.00
2,1,9,64824.32,220000.00
2,1,10,215459.34,220000.00
2,2,-1,62656.00,160000.00
2,2,1,31529.89,160000.00
2,2,2,81203.02,160000.00
2,2,3,39717.23,160000.00
2,2,4,160000.00,160000.00
2,2,5,26837.01,160000.00
2,2,6,45472.55,160000.00
2,2,7,11680.03,160000.00
2,2,8,93230.29,160000.00
2,2,9,42243.88,160000.00
2,2,10,125113.86,160000.00
2,3,-1,274120.00,700000.00
2,3,1,85529.97,700000.00
2,3,2,237216.23,700000.00
2,3,3,311214.19,700000.00
2,3,4,533498.31,700000.00
2,3,5,8442.36,700000.00
2,3,6,277883.00,700000.00
2,3,7,83899.23,700000.00
2,3,8,344815.97,700000.00
2,3,9,282121.12,700000.00
2,3,10,393104.31,700000.00
2,4,-1,164472.00,420000.00
2,4,1,134742.16,420000.00
2,4,2,200394.16,420000.00
2,4,3,115240.16,420000.00
2,4,4,420000.00,420000.00
2,4,5,25300.32,420000.00
2,4,6,112833.79,420000.00
2,4,7,118414.59,420000.00
2,4,8,69905.52,420000.00
2,4,9,103560.36,420000.00
2,4,10,222618.62,420000.00
2,5,-1,168388.00,430000.00
2,5,1,192105.17,430000.00
2,5,2,210643.55,430000.00
2,5,3,215651.92,430000.00
2,5,4,423070.62,430000.00
2,5,5,65847.98,430000.00
2,5,6,120781.66,430000.00
2,5,7,1760.11,430000.00
2,5,8,33222.68,430000.00
2,5,9,127028.84,430000.00
2,5,10,360596.00,430000.00
3,1,-1,220000.00,220000.00
3,1,1,220000.00,220000.00
3,1,2,219999.98,220000.00
3,1,3,220000.00,220000.00
3,1,4,220000.00,220000.00
3,1,5,220000.00,220000.00
3,1,6,220000.00,220000.00
3,1,7,220000.00,220000.00
3,1,8,220000.00,220000.00
3,1,9,220000.00,220000.00
3,1,10,220000.00,220000.00
3,2,-1,160000.00,160000.00
3,2,1,160000.00,160000.00
3,2,2,160000.00,160000.00
3,2,3,160000.00,160000.00
3,2,4,160000.00,160000.00
3,2,5,160000.00,160000.00
3,2,6,160000.02,160000.00
3,2,7,160000.00,160000.00
3,2,8,160000.00,160000.00
3,2,9,160000.00,160000.00
3,2,10,160000.00,160000.00
3,3,-1,700000.00,700000.00
3,3,1,700000.00,700000.00
3,3,2,700000.00,700000.00
3,3,3,700000.00,700000.00
3,3,4,700000.00,700000.00
3,3,5,700000.00,700000.00
3,3,6,700000.00,700000.00
3,3,7,700000.00,700000.00
3,3,8,700000.00,700000.00
3,3,9,700000.00,700000.00
3,3,10,700000.00,700000.00
3,4,-1,420000.00,420000.00
3,4,1,420000.00,420000.00
3,4,2,420000.00,420000.00
3,4,3,420000.00,420000.00
3,4,4,420000.00,420000.00
3,4,5,420000.00,420000.00
3,4,6,420000.00,420000.00
3,4,7,420000.00,420000.00
3,4,8,420000.00,420000.00
3,4,9,420000.00,420000.00
3,4,10,420000.00,420000.00
3,5,-1,430000.00,430000.00
3,5,1,430000.00,430000.00
3,5,2,430000.00,430000.00
3,5,3,430000.00,430000.00
3,5,4,430000.00,430000.00
3,5,5,430000.00,430000.00
3,5,6,430000.00,430000.00
3,5,7,430000.00,430000.00
3,5,8,430000.00,430000.00
3,5,9,430000.00,430000.00
3,5,10,430000.00,430000.00
5,1,-1,86152.00,220000.00
5,1,1,111676.02,220000.00
5,1,2,179849.20,220000.00
5,1,3,111997.16,220000.00
5,1,4,107900.69,220000.00
5,1,5,77352.49,220000.00
5,1,6,88421.00,220000.00
5,1,7,29351.99,220000.00
5,1,8,81936.09,220000.00
5,1,9,34062.64,220000.00
5,1,10,6212.13,220000.00
5,2,-1,62656.00,160000.00
5,2,1,91700.26,160000.00
5,2,2,79814.33,160000.00
5,2,3,112169.84,160000.00
5,2,4,80211.94,160000.00
5,2,5,49216.29,160000.00
5,2,6,52711.14,160000.00
5,2,7,35181.87,160000.00
5,2,8,102323.48,160000.00
5,2,9,33948.03,160000.00
5,2,10,16980.36,160000.00
5,3,-1,274120.00,700000.00
5,3,1,437135.12,700000.00
