Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleId,Loss,ImpactedExposure
1,0.001000,1,1,1,1,0,0,1,-1,151116.00,1470000.00
1,0.001000,1,1,1,1,0,0,1,1,540321.25,1470000.00
1,0.001000,1,1,1,1,0,0,1,2,6040.50,1470000.00
1,0.001000,1,1,1,1,0,0,1,3,119497.97,1470000.00
1,0.001000,1,1,1,1,0,0,1,4,365689.25,1470000.00
1,0.001000,1,1,1,1,0,0,1,5,174588.11,1470000.00
1,0.001000,1,1,1,1,0,0,1,6,18197.99,1470000.00
1,0.001000,1,1,1,1,0,0,1,8,297886.28,1470000.00
1,0.001000,1,1,1,1,0,0,1,9,1750.05,1470000.00
1,0.001000,1,1,1,1,0,0,1,10,277185.34,1470000.00
2,0.001000,2,2,1,1,0,0,1,-1,575652.00,1470000.00
2,0.001000,2,2,1,1,0,0,1,1,632026.94,1470000.00
2,0.001000,2,2,1,1,0,0,1,2,836056.38,1470000.00
2,0.001000,2,2,1,1,0,0,1,3,498079.62,1470000.00
2,0.001000,2,2,1,1,0,0,1,4,1375634.62,1470000.00
2,0.001000,2,2,1,1,0,0,1,5,208840.41,1470000.00
2,0.001000,2,2,1,1,0,0,1,6,452271.69,1470000.00
2,0.001000,2,2,1,1,0,0,1,7,331649.97,1470000.00
2,0.001000,2,2,1,1,0,0,1,8,717982.31,1470000.00
2,0.001000,2,2,1,1,0,0,1,9,320773.22,1470000.00
2,0.001000,2,2,1,1,0,0,1,10,920610.25,1470000.00
2,0.001000,3,2,1,1,0,0,1,-1,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,1,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,2,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,3,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,4,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,5,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,6,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,7,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,8,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,9,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,10,1470000.00,1470000.00
5,0.001000,5,5,1,1,0,0,1,-1,575652.00,1470000.00
