Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleType,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,0.001000,1,1,1,1,0,0,1,1,0.0000,151116.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
1,0.001000,1,1,1,1,0,0,1,2,0.9000,180115.67,186177.50,1470000.00,1470000.00,1323000.00,1470000.00
2,0.001000,2,2,1,1,0,0,1,1,0.0000,575652.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
2,0.001000,2,2,1,1,0,0,1,2,1.0000,629392.50,349861.31,1470000.00,1470000.00,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,1,0.0000,1470000.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
2,0.001000,3,2,1,1,0,0,1,2,1.0000,1470000.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
5,0.001000,5,5,1,1,0,0,1,1,0.0000,575652.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
5,0.001000,5,5,1,1,0,0,1,2,1.0000,599839.12,301838.59,1470000.00,1470000.00,1470000.00,1470000.00
8,0.001000,12,8,1,1,0,0,1,1,0.0000,151116.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
8,0.001000,12,8,1,1,0,0,1,2,1.0000,133048.30,149149.06,1470000.00,1470000.00,1470000.00,1470000.00
9,0.001000,17,9,1,1,0,0,1,1,0.0000,151116.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
9,0.001000,17,9,1,1,0,0,1,2,0.8000,131737.22,188515.72,1470000.00,1470000.00,1176000.00,1470000.00
16,0.001000,27,16,1,1,0,0,1,1,0.0000,1014300.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
16,0.001000,27,16,1,1,0,0,1,2,1.0000,999035.50,337218.00,1470000.00,1470000.00,1470000.00,1470000.00
19,0.001000,32,19,1,1,0,0,1,1,0.0000,151116.00,0.00,1470000.00,1470000.00,1470000.00,1470000.00
19,0.001000,32,19,1,1,0,0,1,2,0.9000,165761.53,179075.41,1470000.00,1470000.00,1323000.00,1470000.00
